ARISHTAS & ASAVAS,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Loose Basic Price,Loose MRP
Abhayarishtam,FGA001,450 ml,90.45,95,1 ml,0.22,0.23
Amritarishtam,FGA002,450 ml,95.2,100,1 ml,0.23,0.24
Aragwadharishtam,FGA006,450 ml,98.2,110,1 ml,0.23,0.26
Aravindasavam,FGA043,450 ml,95.2,100,1 ml,0.23,0.24
Asokarishtam,FGA004,450 ml,95.2,100,1 ml,0.23,0.24
Aswagandharishtam,FGA005,450 ml,152.35,160,1 ml,0.36,0.38
Ayaskriti,FGA003,450 ml,104.75,110,1 ml,0.25,0.26
Balamritam,FGA028,450 ml,156.25,175,1 ml,0.37,0.42
,,,,,,,
Balarishtam,FGA027,450 ml,104.75,110,1 ml,0.25,0.26
Chandanasavam,FGA012,450 ml,90.45,95,1 ml,0.22,0.23
Chavikasavam,FGA013,450 ml,114.25,120,1 ml,0.27,0.29
Chitrakasavam,FGA014,450 ml,142.85,150,1 ml,0.34,0.36
Dantyarishtam,FGA016,450 ml,90.45,95,1 ml,0.22,0.23
Dasamularishtam,FGA017,450 ml,114.25,120,1 ml,0.27,0.29
Devadarvyarishtam,FGA044,450 ml,142.85,150,1 ml,0.34,0.36
Dhanvantarish tam,FGA020,450 ml,109.5,115,1 ml,0.26,0.27
Draksharish tam,FGA019,450 ml,133.3,140,1 ml,0.32,0.33
Duralabharishtam,FGA018,450 ml,100,105,1 ml,0.24,0.25
Jirakadyarishtam,FGA015,450 ml,142.85,150,1 ml,0.34,0.36
Kanakasavam,FGA008,450 ml,90.45,95,1 ml,0.22,0.23
Khadirarishtam,FGA011,450 ml,128.55,135,1 ml,0.31,0.32
Kumaryasavam,FGA010,450 ml,104.75,110,1 ml,0.25,0.26
Kutajarishtam,FGA009,450 ml,104.75,110,1 ml,0.25,0.26
Lodhrasavam,FGA035,450 ml,114.25,120,1 ml,0.27,0.29
Lohasavam,FGA036,450 ml,104.75,110,1 ml,0.25,0.26
Madhookasavam,FGA029,450 ml,142.85,150,1 ml,0.34,0.36
Mridwikarishtam,FGA033,450 ml,138.05,145,1 ml,0.33,0.35
Mritasanj eevani Arishtam,FGA032,450 ml,109.5,115,1 ml,0.26,0.27
Mulakadyarishtam,FGA031,450 ml,169.6,190,1 ml,0.4,0.45
Mustarishtam,FGA030,450 ml,104.75,110,1 ml,0.25,0.26
Nimbarishta savam,FGA021,450 ml,133.3,140,1 ml,0.32,0.33
Parthadyarishtam,FGA022,450 ml,104.75,110,1 ml,0.25,0.26
Pippalyasavam,FGA023,450 ml,100,105,1 ml,0.24,0.25
Punarnavasavam,FGA024,450 ml,95.2,100,1 ml,0.23,0.24
Putikaranjasavam,FGA025,450 ml,123.8,130,1 ml,0.29,0.31
Putival kasavam,FGA026,450 ml,90.45,95,1 ml,0.22,0.23
Rohitkarishtam,FGA034,450 ml,90.45,95,1 ml,0.22,0.23
Saraswatarishtam,FGA047,200 ml,742.85,780,1 ml,3.79,3.98
Saraswatarishtam,FGA042,450 ml,1609.5,1690,1 ml,3.79,3.98
Saribadyasavam,FGA040,450 ml,104.75,110,1 ml,0.25,0.26
Srikhandasavam,FGA041,450 ml,90.45,95,1 ml,0.22,0.23
Sudarsanasavam,FGA046,450 ml,95.2,100,1 ml,0.23,0.24
Usirasavam,FGA007,450 ml,95.2,100,1 ml,0.23,0.24
Vasakadyarishtam,FGA037,450 ml,133.9,150,1 ml,0.32,0.36
Vidaryadyasavam,FGA038,450 ml,104.75,110,1 ml,0.25,0.26
Viswamritam,FGA039,450 ml,133.9,150,1 ml,0.32,0.36
,,,,,,,
BHASMAS,,,,,,,
,,,,,,,
Product Name,Product Code,Quantity,Price (MRP),Price (Selling),,,
Abhra Bhasmam (101)*,FGB003,1gm,80.95,85,,,
Aviltoladi Bhasmam*,FGB005,50gm,147.6,155,,,
Kalyanaksaram*,FGB007,50gm,95.2,100,,,
Palasaksaram*,FGB020,50gm,95.2,100,,,
Sankha Bhasmam*,FGB031,1gm,14.25,15,,,
Thalaka Bhasmam*,FGB017,1gm,21.9,23,,,
Thamra Bhasmam*,FGB016,1gm,38.05,40,,,
,,,,,,,
BHASAM CAPSULES,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Abhrabhasmam,FGB108,100Nos,589,660,1 no,5.89,6.6
Abhrabhasmam (101),FGB132,10Nos,178.5,200,,,
Annabhedisinduram,FGB107,100Nos,258,290,1 no,2.58,2.9
Gandhakarasayanam (14),FGB114,30No,66.9,75,1 no,2.23,2.5
Gandhakarasayanam (21),FGB115,30No,71.4,80,1 no,2.38,2.67
Gandhakarasayanam (7),FGB113,30No,66.9,75,1 no,2.23,2.5
Himgula Bhasmam,FGB111,100Nos,415,465,1 no,4.15,4.65
Kantasinduram (14),FGB119,30No,75.8,85,1 no,2.53,2.83
Kannada Bhasmam Capsule,FGB101,100Nos,209,235,1 no,2.09,2.35
Kantasinduram (7),FGB109,100Nos,272,305,1 no,2.72,3.05
Lohasinduram (101),FGB118,30No,178.5,200,1 no,5.95,6.67
Lohasinduram (14),FGB116,30No,133.9,150,1 no.,4.46,5
Lohasinduram (21),FGB117,30No,133.9,150,1 no.,4.46,5
Lohasinduram (7),FGB110,100Nos,352,395,1 no.,3.52,3.95
Makaradhwajam,FGB124,30No,366,410,1 no,12.2,13.67
Mrityunjayarassam,FGB120,30No,44.6,50,1 no.,1.49,1.67
Prabhakaravati,FGB121,30No,84.8,95,1 no,2.83,3.17
